Cod_Pai,Assunto_Descricao
6136,Cálculo do benefício de segurado especial de acordo com a Lei 9.876/99
6137,Cálculo do fator previdenciário - Lei 9.876/99
3395,Calúnia
4728,Câmbio
6196,Cancelamento de Naturalização
4830,Cancelamento de vôo
9493,Capacidade Processual
10539,Capacidade Tributária
10585,Capitalização / Anatocismo
11808,Capitalização e Previdência Privada
6053,Cargo em Comissão
11921,Cargos de Direção
5988,Carta de fiança
7772,Cartão de Crédito
9585,Cartão de Crédito
10150,Cartel
5853,Casa de Prostituição
10268,Casamento
9532,Caução
9517,Causas Supervenientes à Sentença
4961,Cédula de Crédito à Exportação
4960,Cédula de Crédito Bancário
4962,Cédula de Crédito Comercial
4963,Cédula de Crédito Industrial
4964,Cédula de Crédito Rural
4968,Cédula de Produto Rural
4969,Cédula Hipotecária
10606,Cerceamento de Defesa
10865,Cerceamento de Defesa
6189,Certidão de Tempo de Serviço
3535,Certidão ou atestado ideologicamente falso
6002,Certificado de Regularidade - FGTS
4718,Cessão de Crédito
10402,Cessão de créditos não-tributários
3510,Charlatanismo
4970,Cheque
12501,Cirurgia
10938,Citação
11783,Citação
7799,Clandestinos
10381,Classificação e/ou Preterição
11819,Classificação indicativa
7700,Cláusula Penal
11974,Cláusulas Abusivas
10516,Clonagem Humana
5999,CND/Certidão Negativa de Débito
10418,CNH - Carteira Nacional de Habilitação
5983,CNPJ/Cadastro Nacional de Pessoas Jurídicas
3580,Coação no curso do processo
10598,Cobrança indevida de ligações
6035,Cofins
10562,COFINS - Importação
10432,Coisas
5899,Colaboração com Grupo Organização ou Associação Destinados à Produção ou Tráfico de Drogas
10032,Colação de Grau
10037,Colisão de Horário
11861,Combustíveis e derivados
11868,Combustíveis e derivados
10003,Comercialização e/ou Utilização sem Restrições de Medicamentos
10002,Comercialização sem Restrições de Gêneros Alimentícios
10001,Comercialização sem Restrições de Produtos Industrializados
11837,Comércio Ambulante
9586,Comissão
10412,Comissão Parlamentar de Inquérito - CPI
9602,Comodato
5994,Compensação
7709,Compensação
5991,Compensação com Apólices da Dívida Pública
10563,Compensação de Prejuízo
5940,Compensação de Prejuízos
8829,Competência
10653,Competência da Justiça Federal
10605,Competência do MP
10651,Competência dos Juizados Especiais
10901,Competência por Prerrogativa de Função
10540,Competência Tributária
10243,Complementação de Benefício/Ferroviário
11913,Composição de Turmas Recursais
9587,Compra e Venda
9606,Compromisso
10256,Compulsória
3577,Comunicação falsa de crime ou de contravenção
11845,Comunicação Social
6177,Concessão
10252,Concessão
10360,Concessão
10073,Concessão / Permissão / Autorização
6195,Concessão de Naturalização
9418,Concurso de Credores
11903,Concurso para magistrado
11909,Concurso para servidor
10370,Concurso Público / Edital
3553,Concussão
3558,Condescendência criminosa
10602,Condicional do processo
10384,Condições Especiais para Prestação de Prova
10462,Condomínio
10463,Condomínio em Edifício
5901,Condução de Embarcação ou Aeronave sob Efeito de Drogas
11412,Conflito fundiário coletivo rural
11413,Conflito fundiário coletivo urbano
7710,Confusão
3480,Conhecimento Prévio de Impedimento
11833,Conselho da Comunidade
11835,Conselho de Direitos da Criança e Adolescente
11832,Conselho do Idoso
11834,Conselho sobre Drogas
11803,CONSELHOS
10166,Conselhos Regionais de Fiscalização Profissional e Afins
6046,Conselhos Regionais e Afins (Anuidade)
11821,Conselhos tutelares
7619,Consórcio
10544,Constitucionalidade do artigo 4º da LC 118/05
10551,Constitucionalidade do artigo 45 da Lei 8212/91
10545,Constitucionalidade do artigo 46 da Lei 8212/91
9604,Constituição de Renda
3401,Constrangimento ilegal
6043,Construção Civil
12500,Consulta
6190,Contagem Recíproca de Tempo de Serviço
3574,Contrabando ou descaminho
5903,Contratação de Operação de Crédito
10410,Contrato Temporário de Mão de Obra L 8.745/1993
10421,Contratos Administrativos
9607,Contratos Bancários
7771,Contratos de Consumo
6219,Contratos Internacionais
3692,Contravenções Penais
6070,Contribuição de Autônomos Empresários (Pró-labore) e Facultativos
6083,Contribuição de Iluminação Pública
6080,Contribuição de Intervenção no Domínio Econômico (CIDE)
6041,Contribuição INCRA
6047,Contribuição Sindical
10404,Contribuição Sindical
10565,Contribuição Sindical Rural
6060,Contribuição sobre a folha de salários
6086,Contribuição sobre Açúcar e Álcool
6079,Contribuição sobre licença de uso ou transferência de tecnologia
6069,Contribuição sobre Nota Fiscal de Execução de Serviços
6131,Contribuição sobre vinte salários mínimos
6036,Contribuição Social sobre o Lucro Líquido
6031,Contribuições
6044,Contribuições Corporativas
6032,Contribuições de Melhoria
6071,Contribuições Especiais
6045,Contribuições para o SEBRAE SESC SENAC SENAI e outros
6048,Contribuições Previdenciárias
6033,Contribuições Sociais
10139,Controle de Abastecimento
10138,Controle de Preços
11831,Controle Externo da atividade policial
11855,Controle Social e Conselhos de Saúde
12518,Controle Social e Conselhos de Saúde
10392,Convênio
10067,Convênio Médico com o SUS
12512,Convênio médico com o SUS
6179,Conversão
6203,Cooperação Internacional
5939,Cooperativa
10178,Cooperativas de Crédito
10336,Corpo Feminino
10689,Correção da Tabela
7697,Correção Monetária
10685,Correção Monetária
6158,Correção Monetária de Benefício pago com atraso
10946,Correção Monetária de Diferenças Pagas em Atraso
6157,Correção Monetária pela Súmula 71 TFR
9588,Corretagem
5623,Corretagem de Embarcação
3568,Corrupção ativa
5876,Corrupção Ativa em Transação Comercial Internacional
3468,Corrupção de Menores
3511,Corrupção ou Poluição de Água Potável
3555,Corrupção passiva
10991,Corrupção Praticada por Prefeitos e Vereadores
5984,CPF/Cadastro de Pessoas Físicas
6087,CPMF/Contribuição Provisória sobre Movimentação Financeira
6016,Creditamento
6009,Crédito Prêmio
6010,Crédito Presumido
10501,Crédito Rural
10958,Crédito Suplementar
5986,Crédito Tributário
5612,Créditos / Privilégios Marítimos
10414,Criação / Instalação / Prosseguimento / Encerramento
10955,Criação de Dotação Orçamentária
10043,Criação e/ou Autorização para funcionamento de Curso Superior
10950,Crime / Contravenção contra Criança / Adolescente
10951,Crime / Contravenção contra Idoso
10986,Crime contra a administração ambiental
5893,Crime Contra a Administração da Justiça - Lei da Ação de Alimentos
3488,Crime contra o Pátrio-Poder e Tutela
5865,Crime Culposo
11006,Crime de Desvio e/ou Circulação de Moeda Não Autorizada
11007,Crime de Moeda Falsa Praticado por Funcionário Público
3655,Crime de Quebra de Sigilo Financeiro
5555,Crime Tentado
11414,Crime/contravenção decorrente de conflito fundiário coletivo
3651,Crimes Agrários
12342,Crimes cometidos contra autoridade ou agente descrito nos arts. 142 e 143 da Constituição Federal integrantes do sistema prisional e da Força Nacional de Segurança Pública
5881,Crimes Cometidos por Meio de Marca Título de Estabelecimento e Sinal de Propaganda
5874,Crimes Contra a Administração da Justiça
3473,Crimes Contra a Assistência Familiar
3463,Crimes contra a Dignidade Sexual
3605,Crimes contra a Economia Popular
3472,Crimes contra a Família
3619,Crimes contra a Fauna
3523,Crimes contra a Fé Pública
3620,Crimes contra a Flora
3394,Crimes contra a Honra
3491,Crimes contra a Incolumidade Pública
3407,Crimes contra a inviolabilidade de correspondência
3405,Crimes contra a inviolabilidade de domicílio
3412,Crimes contra a inviolabilidade de segredo
3400,Crimes contra a liberdade pessoal
3615,Crimes contra a Ordem Econômica
3614,Crimes contra a Ordem Tributária
10985,Crimes contra a Ordem Tributária praticado por Funcionário Público
3445,Crimes contra a Organização do Trabalho
3520,Crimes contra a Paz Pública
3438,Crimes contra a Propriedade Industrial
3442,Crimes contra a Propriedade Intelectual
3611,Crimes contra a Segurança Nacional a Ordem Política e Social
3369,Crimes contra a vida
5875,Crimes Contra as Finanças Públicas
5880,Crimes contra as Marcas
3616,Crimes contra as Relações de Consumo
3629,Crimes contra as Telecomunicações
5882,Crimes contra Indicações Geeográficas e Demais Indicações
3477,Crimes contra o Casamento
3484,Crimes Contra o Estado de Filiação
3618,Crimes contra o Meio Ambiente e o Patrimônio Genético
3638,Crimes contra o mercado de capitais
11780,Crimes contra o Ordenamento Urbano e o Patrimônio Cultural
3415,Crimes contra o Patrimônio
3457,Crimes contra o sentimento religioso e contra o respeito aos mortos
3610,Crimes contra o Serviço Postal e o Serviço de Telegrama
3612,Crimes contra o Sistema Financeiro Nacional
5879,Crimes contra os Desenhos Industriais
5878,Crimes contra Patente de Invenção
3642,Crimes da Lei de licitações
3643,Crimes da Lei de remoção de órgãos e tecidos
3628,"Crimes de ""Lavagem"" ou Ocultação de Bens Direitos ou Valores"
3606,Crimes de Abuso de Autoridade
5883,Crimes de Concorrência Desleal
3640,Crimes de genocídio
3634,Crimes de Imprensa
3604,Crimes de Responsabilidade
3631,Crimes de Tortura
3607,Crimes de Tráfico Ilícito e Uso Indevido de Drogas
3632,Crimes de Trânsito
3656,Crimes do Código Brasileiro de Telecomunicações
3633,Crimes do Sistema Nacional de Armas
3661,Crimes Falimentares
10864,Crimes Hediondos
3664,Crimes Militares
12335,Crimes ocorridos na investigação da prova
3647,Crimes praticados contra os índios e a cultura indígena
3547,Crimes Praticados por Funcionários Públicos Contra a Administração em Geral
5872,Crimes Praticados por Particular Contra a Administração em Geral
5873,Crimes Praticados por Particular Contra a Administração Pública Estrangeira
3603,Crimes Previstos na Legislação Extravagante
12333,Crimes previstos na Lei da Organização Criminosa
3630,Crimes Previstos na Lei de Estrangeiros
3637,Crimes Previstos no Estatuto da criança e do adolescente
3659,Crimes Previstos no Estatuto do Idoso
3653,Crimes relacionados à Comissão Parlamentar de Inquérito
3613,Crimes Resultante de Preconceito de Raça ou de Cor
10155,Cruzados Novos / Bloqueio
10880,Cumprimento Provisório de Sentença
6175,Cumulação
3512,Curandeirismo
12497,Curativos/Bandagem
10040,Currículo Escolar
10327,Curso de Formação
10377,Curso de Formação
10658,Custas
6064,Custeio de Assistência Médica
3621,Da Poluição
7707,Dação em Pagamento
3426,Dano
10438,Dano Ambiental
10012,Dano ao Erário
3428,Dano em coisa de valor artístico arqueológico ou histórico
5571,Dano Qualificado
10300,Data Base
6174,Data de Início de Benefício (DIB)
4971,Debêntures
5993,Decadência
6162,Decadência/Prescrição
6164,Declaração de Ausência
9999,Declaração de Bagagem
10000,Declaração de Trânsito Aduaneiro
10548,Decretação de Ofício
10087,Defensoria Pública
11946,Deficiente
5837,Defraudação de Penhor
10105,Demarcação
10280,Demissão ou Exoneração
5935,Demonstrações Financeiras (DCTF)
6167,Demonstrativo das importâncias pagas
7941,Denegação
5997,Denúncia espontânea
4368,Denúncia/Queixa
3576,Denunciação caluniosa
10940,Depoimento
9589,Depósito
10543,Depósito Judicial
6019,Depósito Prévio ao Recurso Administrativo
3496,Desabamento ou desmoronamento
11969,Desabamento ou desmoronamento culposo
3573,Desacato
10631,Desaforamento
10121,Desapropriação
10134,Desapropriação de Imóvel Urbano
10125,Desapropriação Indireta
10123,Desapropriação por Interesse Social Comum / L 4.132/1962
10124,Desapropriação por Interesse Social para Reforma Agrária
10122,Desapropriação por Utilidade Pública / DL 3.365/1941
3500,Desastre ferroviário / Perigo de Desastre Ferroviário
11972,Desastre ferroviário culposo
10935,Desclassificação
6155,Desconto do DL 1.910/81
10592,Desconto em folha de pagamento
6156,Descontos dos benefícios
10296,Descontos Indevidos
12338,Descumprimento de determinação de sigilo
10141,Desembaraço Aduaneiro
4670,Desenho Industrial
7940,Deserção
3572,Desobediência
3595,Desobediência a decisão judicial sobre perda ou suspensão de direitos
10550,Despacho de Citação
9611,Despejo para Uso de Ascendentes e Descendentes
9610,Despejo para Uso Próprio
9612,Despejo por Denúncia Vazia
3458,Destruição / Subração / Ocultação de Cadáver
11810,Dever de Informação
6061,Devolução de contribuições previdenciárias pagas além do teto
12504,Diálise/Hemodiálise
10298,Diárias e Outras Indenizações
3396,Difamação
3498,Difusão de doença ou praga
10407,Dilação e Extensão de Base Territorial
11785,Diligências
5982,DIMOB/Declaração de Informações sobre Atividades Imobilíárias
10045,Diplomas/Certificado de Conclusão do Curso
9985,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO
4656,Direito Autoral
899,DIREITO CIVIL
9633,DIREITO DA CRIANÇA E DO ADOLESCENTE
12480,DIREITO DA SAÚDE
10227,Direito de Greve
10437,Direito de Imagem
10443,Direito de Imagem
10133,Direito de Preempção
9615,Direito de Preferência
1156,DIREITO DO CONSUMIDOR
6191,DIREITO INTERNACIONAL
1146,DIREITO MARÍTIMO
287,DIREITO PENAL
195,DIREITO PREVIDENCIÁRIO
8826,DIREITO PROCESSUAL CIVIL E DO TRABALHO
1209,DIREITO PROCESSUAL PENAL
14,DIREITO TRIBUTÁRIO
10491,Direitos e Títulos de Crédito
9989,Direitos Indígenas
10259,Dirigente Sindical
6088,Discriminação Tributária MERCOSUL
10234,Disponibilidade / Aproveitamento
5835,Disposição de coisa alheia como própria
6160,Disposições Diversas Relativas às Prestações
6017,Dívida Ativa
10394,Dívida Ativa não-tributária
10182,Dívida Pública Mobiliária
3413,Divulgação de segredo
8884,Do Juiz
9590,Doação
10271,Doação de Sangue
12521,Doação e transplante de órgãos tecidos ou partes
11857,"Doação e Transplante de Órgãos, Tecidos e Partes do Corpo Humano"
10262,Doença em Pessoa da Família
10088,Domínio Público
8888,Dos Auxiliares da Justiça
5943,Drawback
4972,Duplicata
5841,Duplicata Simulada
5680,Edição
10388,Edital
10062,Educação Pré-escolar
10063,Educação Profissionalizante
9518,Efeito Suspensivo / Impugnação / Embargos à Execução
10642,Efeitos da Condenação
11920,Eleição
10171,Eleições
10405,Eleições Sindicais
12502,Eletiva
3528,Emissão de título ao portador sem permissão legal
5846,"Emissão Irregular de Conhecimento de Depósito ou ""Warrant"""
10409,Empregado Público / Temporário
3506,Emprego de Processo Proibido/Substância não permitida
3552,Emprego irregular de verbas ou rendas públicas
9591,Empreitada
11806,Empréstimo consignado
5973,Empréstimos Compulsórios
5977,Energia Elétrica
10075,Energia Elétrica
5193,Engajamento e Profissionais Marítimos
10223,Enquadramento
10013,Enriquecimento ilícito
7715,Enriquecimento sem Causa
10058,Ensino Especial
10051,Ensino Fundamental e Médio
10029,Ensino Superior
11820,Entidades de atendimento
10528,Entidades Sem Fins Lucrativos
3476,Entrega de Filho Menor a Pessoa Inidônea
3513,Envenenamento de Água Potável / Substância Alimentícia ou Medicinal
3505,Epidemia
10430,Equilíbrio Financeiro
4840,Equivalência salarial
8986,Erro de Procedimento
9995,Erro Médico
10434,Erro Médico
10440,Erro Médico
10503,Erro Médico
10445,Esbulho / Turbação / Ameaça
3425,Esbulho possessório
6130,Escala de Salário-Base
10380,Escolaridade
10107,Espaço Aéreo
9580,Espécies de Contratos
7717,Espécies de Títulos de Crédito
7620,Estabelecimentos de Ensino
10222,Estabilidade
10329,Estabilidade
10617,Estado de Necessidade
5971,Estaduais
10238,Estágio Probatório
3431,Estelionato
3432,Estelionato Majorado
9601,Estimatório
6197,Estrangeiro
10618,Estrito Cumprimento do Dever Legal
3465,Estupro
11417,Estupro de vulnerável
3587,Evasão mediante violência contra a pessoa
6116,Ex-combatentes
10333,Ex-combatentes
10170,Exame da Ordem OAB
10376,Exame de Saúde e/ou Aptidão Física
10055,Exame Nacional de Ensino Médio / ENEM
10378,Exame Psicotécnico / Psiquiátrico
10059,Exame Supletivo
3554,Excesso de exação
10902,Excesso de prazo para instrução / julgamento
10613,Excludentes
10556,Exclusão - ICMS
10557,Exclusão - IPI
10558,Exclusão - Receitas Provenientes de Exportação
10959,Exclusão - Receitas Transferidas a outras Pessoas Jurídicas
10429,Execução Contratual
7942,Execução Penal
3581,Exercício arbitrário das próprias razões
3585,Exercício arbitrário ou abuso de poder
3453,Exercício de atividade com infração de decisão administrativa
10274,Exercício em Outro Município
3562,Exercício funcional ilegalmente antecipado ou prolongado
3509,Exercício Ilegal da Medicina Arte Dentária ou Farmacêutica
10173,Exercício Profissional
10033,Exigência de Estágio Profissionalizante
10374,Exigência de Prática Forense
10241,Exoneração
6001,Expedição de Certidão Positiva de Débito com Efeito de Negativa
6000,Expedição de CND
3593,Exploração de prestígio
3493,Explosão
11963,Explosão culposa
10017,Exportação/Vedações
10509,Exposição ou Abandono de Recém Nascido
9180,Expropriação de Bens
10154,Expurgos Inflacionários / Planos Econômicos
10945,Expurgos Inflacionários / Planos Econômicos
6143,Expurgos inflacionários sobre os benefícios
9414,Extinção da Execução
10622,Extinção da Punibilidade
5990,Extinção do Crédito Tributário
8942,Extinção do Processo Sem Resolução de Mérito
3420,Extorsão
3422,Extorsão indireta
3421,Extorsão mediante seqüestro
5569,Extorsão mediante Sequestro Seguida de Lesão Corporal Grave
5568,Extorsão mediante Seqüestro Seguida de Morte
4832,Extravio de bagagem
3551,Extravio sonegação ou inutilização de livro ou documento
5894,Fabricação de Objeto Destinado a Produção de Drogas e Condutas Afins
5862,Fabrico / Fornecimento / Aquisição / Posse ou Transporte de Explosivos ou Gás Tóxico ou Asfixiante
12343,Fabrico comércio ou detenção de arma branca ou munição
10668,Fac-símile
3556,Facilitação de contrabando ou descaminho
3542,Falsa identidade
7945,Falsidade
3537,Falsidade de atestado médico
3533,Falsidade ideológica
10995,Falsidade ideológica praticada por Funcionário Público
3536,Falsidade material de atestado ou certidão
3508,Falsificação / Corrupção / Adulteração / Alteração de produto destinado a fins terapêuticos ou medicinais
3514,Falsificação / Corrupção / Adulteração / Alteração de Substância ou Produtos Alimentícios
3532,Falsificação de documento particular
3531,Falsificação de documento público
10998,Falsificação de documento Público praticada por Funcionário Público
3529,Falsificação de papéis públicos
11005,Falsificação de Papéis Públicos Praticado por Funcionário Público
3530,Falsificação do selo ou sinal público
11004,Falsificação do Selo ou Sinal Público Praticado por Funcionário Público
3541,Falsificação do sinal empregado no contraste de metal precioso ou na fiscalização alfandegária ou para outros fins
3534,Falso reconhecimento de firma ou letra
3579,Falso testemunho ou falsa perícia
5626,Família
10952,Fato Atípico
6011,Fato Gerador/Incidência
10683,Fato Superveniente ao Término do Prazo para Impugnação
7947,Fatos Jurídicos
10114,Fauna
5852,Favorecimento da Prostituição
11420,Favorecimento da prostituição ou outra forma de exploração sexual
11419,Favorecimento da prostituição ou outra forma de exploração sexual de vulnerável
3583,Favorecimento pessoal
3584,Favorecimento real
5957,Federais
10301,Férias
10339,Férias
6115,Ferroviário
6085,FGTS/Fundo de Garantia Por Tempo de Serviço
10158,FGTS/Fundo de Garantia por Tempo de Serviço
4310,Fiança
9592,Fiança
10408,Filiação
7773,Financiamento de Produto
11852,Financiamento do SUS
12513,Financiamento do SUS
5898,Financiamento ou Custeio de Produção ou Tráfico de Drogas
10046,Financiamento Privado da Educação e/ou Pesquisa
10031,Financiamento Público da Educação e/ou Pesquisa
6034,Finsocial
10015,Fiscalização
10113,Flora
6072,FNT/Fundo Nacional de Telecomunicações
8938,Formação Suspensão e Extinção do Processo
7761,Fornecimento de Água
7760,Fornecimento de Energia Elétrica
10074,Fornecimento de Gás
12485,Fornecimento de insumos
12490,Fornecimento de insumos
11884,Fornecimento de Medicamentos
12222,Fornecimento de medicamentos
12484,Fornecimento de medicamentos
12487,Fornecimento de medicamentos
10093,Foro / Laudêmio
10679,Fracionamento
12499,Fraldas
9608,Franquia
11923,Fraude / Quebra de ordem cronológica
9450,Fraude à Execução
3434,Fraude à execução
3543,Fraude de lei sobre estrangeiros
5838,Fraude na Entrega de Coisa
5844,Fraude no Comércio
5840,Fraude no Pagamento por Meio de Cheque
5839,Fraude para Recebimento de Indenização ou Valor de Seguro
3582,Fraude processual
5845,Fraudes e Abusos na Fundação ou Administração de Sociedade por Ações
10035,Freqüência às Aulas
3452,Frustração de direitos assegurados por lei trabalhista
3456,Frustração de lei sobre a nacionalização do trabalho
3586,Fuga de pessoa presa ou submetida a medida de segurança
10004,Funcionamento de Comércio de Derivados de Petróleo
6217,Funcionamento de Empresa Estrangeira
10006,Funcionamento de Estabelecimentos Empresariais
6081,FUNDAF/Fundo Especial de Desenvolvimento e Aperfeiçoamento das Atividades de Fiscalização
6077,FUNDEF/Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e de Valorização do Magistério
